Time, XRP(Price), Cash, Market Value, Shares,
469200, 0.4732, 251.547122796006, 680.3980908816001, 1437.865788, 
471758, 0.47859463, 254.080712796006, 685.6211925847871, 1432.571846, 
471904, 0.48428997, 257.653907796006, 690.206869898778, 1425.193402, 
476246, 0.48039326, 257.524459416006, 684.7831154232011, 1425.46362, 
492462, 0.47552104, 257.524459416006, 677.8379240437232, 1425.46358, 
499720, 0.475963, 257.399746488006, 678.5937070493651, 1425.727855, 
502551, 0.47758538, 257.399746488006, 680.9067603033446, 1425.727815, 
506097, 0.477579, 257.399746488006, 680.897645056725, 1425.727775, 
506312, 0.477579, 257.399746488006, 680.8976259535649, 1425.727735, 
509086, 0.4781236, 257.277069624006, 681.7975732570608, 1425.986028, 
509607, 0.47812632, 257.155395762006, 681.9237131422178, 1426.241737, 
510403, 0.47475983, 257.032762986006, 677.2447275309809, 1426.499642, 
518234, 0.4737333, 257.032762986006, 675.7803639041467, 1426.499602, 
519456, 0.4751, 256.911979902006, 677.8512121314001, 1426.7548140000001, 
520652, 0.470289, 256.798560516006, 671.0994984951361, 1426.9938240000001, 
520772, 0.470289, 257.064612516006, 670.8343871800561, 1426.430104, 
520993, 0.47280672, 257.312347516006, 674.1777790796488, 1425.9056620000001, 
521088, 0.4701892, 257.191234774006, 670.566282526218, 1426.162665, 
523211, 0.4701, 257.419824774006, 670.2119395314, 1425.6795140000002, 
523606, 0.47292005, 257.636690774006, 674.0155468557658, 1425.220916, 
524152, 0.47626246, 258.0448047740059, 678.370942074991, 1424.363663, 
531983, 0.47640512, 258.0448047740059, 678.5741227389498, 1424.363623, 
532728, 0.47754848, 258.6716057740059, 679.575867800098, 1423.051054, 
542262, 0.476263, 258.5578907980059, 677.860106659191, 1423.289457, 
543559, 0.47464721, 258.4477697980059, 675.670476548652, 1423.5214330000001, 
548737, 0.473956, 258.3175538860059, 674.8167456057721, 1423.7961870000001, 
549458, 0.471464, 258.2072527240059, 671.3785074634401, 1424.0292100000001, 
549553, 0.473682, 258.4774977240059, 674.266528987128, 1423.458204, 
552627, 0.47482497, 258.8868807240059, 675.4851153489561, 1422.598132, 
552722, 0.47672902, 259.3626295922831, 677.7180501551851, 1421.600158, 
553118, 0.47298875, 259.2286872422831, 672.5341467855237, 1421.881909, 
553788, 0.47563806, 259.554071242283, 675.9757544798688, 1421.197779, 
555185, 0.47268858, 259.433215012283, 671.9045608735879, 1421.452917, 
557634, 0.47, 259.299447010283, 668.21643982, 1421.737106, 
558655, 0.47, 259.159277230283, 668.3571174, 1422.0364200000001, 
559051, 0.46713464, 259.034851876283, 664.406634109497, 1422.3022170000002, 
560423, 0.4689213, 259.160092876283, 666.8229205300635, 1422.035895, 
560768, 0.47479141, 259.281801876283, 675.0480373523664, 1421.778118, 
562290, 0.47121069, 259.149978756283, 670.0886284115463, 1422.0573570000001, 
570147, 0.4701047, 259.149978756283, 668.5158283910899, 1422.057317, 
571043, 0.46767198, 259.049341884283, 665.1565434680733, 1422.271532, 
574668, 0.46608639, 259.160292884283, 662.7911898992654, 1422.035065, 
574788, 0.46925773, 259.271262884283, 667.1895865611384, 1421.797754, 
581844, 0.46719344, 259.083221552283, 664.4422356582572, 1422.199412, 
584743, 0.46878221, 259.194178552283, 666.5908123557449, 1421.96269, 
585464, 0.467236, 258.990237484283, 664.595679950664, 1422.3982740000001, 
585634, 0.46762436, 259.111195484283, 665.0274803514133, 1422.14037, 
586104, 0.46554, 258.825566366283, 662.3483710998, 1422.75287, 
586650, 0.46298025, 258.403718354283, 659.1274715489648, 1423.6621790000002, 
589048, 0.4630566, 258.527613354283, 659.1129900071088, 1423.396168, 
591447, 0.45952159, 257.929155828283, 654.677297852314, 1424.693229, 
591892, 0.45717823, 257.1137643002831, 652.1524790030891, 1426.47317, 
593490, 0.454527, 256.1714985302832, 649.310941905417, 1428.542071, 
594661, 0.45649744, 256.3013185302832, 651.9961544403305, 1428.258074, 
595006, 0.45928075, 256.4248145302832, 655.8479296409855, 1427.989154, 
596103, 0.45961139, 255.6731542102832, 657.0759058499939, 1429.6336430000001, 
596248, 0.4556, 254.9752942762832, 652.0363989572, 1431.159787, 
596343, 0.4583033, 255.1031682762832, 655.777640030422, 1430.8813400000001, 
596438, 0.45370239, 254.3475981522832, 649.9475408888882, 1432.541585, 
597059, 0.45749543, 254.4808651522832, 655.2481507792919, 1432.250702, 
600750, 0.4556272, 254.4808651522832, 652.5723588252065, 1432.2506620000001, 
619772, 0.45663, 254.6070961522832, 653.88312644931, 1431.975837, 
621444, 0.46109011, 254.7172951522832, 660.1589837402522, 1431.735293, 
621539, 0.4587512, 253.784426020222, 657.7412771013912, 1433.764701, 
623111, 0.46072173, 253.915082020222, 660.4358849427554, 1433.481084, 
627512, 0.45796617, 252.988258072222, 657.4092403693978, 1435.4973870000001, 
627607, 0.45941803, 253.098187072222, 659.383464004338, 1435.258133, 
628729, 0.46109011, 253.228707072222, 661.6528829592544, 1434.975222, 
630852, 0.4625, 253.350775072222, 663.5541459875001, 1434.711667, 
631047, 0.46111837, 253.481344072222, 661.4422697163096, 1434.430534, 
